province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-31
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-30
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-25
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-8-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-8-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-8-8
